pH,Temp,OD,Cond,Redox,Mang,Color,Turb,TOC
6.6,20.8,7.5,46.3,158.1,0.01,9,1,1.7421
6.4,19.8,7.3,52.5,164.6,0.013,16,30,2.0662
6.1,18.5,4.6,55,182.7,0.097,11,40,2.2786
5.8,19.2,4.8,49.4,54.3,0.097,12,2,2.0197
6.6,20.57,7.3,44.5,208.9,0.012,14,3,1.7951
6.7,20.97,7.6,46.9,195.7,0.01,12,1,1.6426
6.7,20.77,7.7,46.6,211.9,0.01,12,2,1.6518
7.1,21.8,7.7,48,155.8,0.01,9,2,1.7274
6.2,19.4,5.2,57.9,200.8,0.031,14,7,1.5995
6.3,18.7,2.2,47.4,229.3,0.137,13,5,1.7442
6.7,19.9,5.5,49.2,16,0.122,15,2,1.9688
6.9,22,7,48,180,0.011,8,3,1.7463
7.1,22.17,7.6,51.3,198.1,0.022,12,2,1.7415
7.7,22.07,8.2,47.1,171.3,0.01,6,1,1.7335
8.3,21.8,9.4,53,87.3,0.01,9,9,2.2645
6.8,19.9,5.3,65.7,175.6,0.028,10,8,1.7378
7.1,19.7,3.4,50,166,0.071,9,6,1.6412
7.2,20,5.7,52.3,64.5,0.191,15,3,1.9308
7.9,21.7,8,53.7,152.9,0.014,11,2,1.973
8.1,22,7.8,54.9,125.7,0.01,7,3,1.7685
8.8,21.57,9.7,52.6,133.8,0.01,9,3,1.9484
8,21.1,8.7,48.1,1,0.01,10,3,2.2169
7,18.87,5.1,48,88.5,0.012,13,11,2.0389
7.6,18.65,5.9,62.6,43.2,0.036,15,16,1.9551
6.7,19.5,5.6,47.4,35.1,0.155,26,4,2.1166
7.6,21.17,7.3,47.9,32.1,0.01,16,5,1.9595
8.3,21.67,8.5,49.9,200,0.01,12,4,1.9445
8.5,22.3,9.2,47.7,53.4,0.01,12,4,1.9445
6.3,20.18,6.5,43.1,129.8,0.01,5,7,1.9595
6.4,18.85,6.5,48.7,152.6,0.03,15,65,2.702
6.5,18.4,6.5,52.6,156.9,0.033,13,90,3.0697
6.2,19.19,3.9,48.4,3.6,0.164,11,8,2.208
6.5,20.9,6.5,43.5,225.3,0.015,13,20,2.2369
6.8,20.47,7.1,44.3,235.2,0.01,6,11,2.079
6.5,20.8,6.2,41.6,168.4,0.01,7,2,1.9874
6.9,20.2,7.9,43.6,201.6,0.01,13,1,1.9251
6.6,18.2,6.6,55.6,243.3,0.014,15,6,1.9811
6.8,18.03,6.4,58.2,271.1,0.015,15,13,3.5444
6.7,18.88,5.2,44.7,177.5,0.012,10,4,5.0358
7,19.73,7,41.7,211.4,0.01,14,3,5.0434
7.2,20.47,8,45.5,191.7,0.01,16,7,4.8937
7.4,20.83,8.1,41.5,182.9,0.01,19,3,4.0591
7.8,20.98,8.5,47.4,200.7,0.01,12,3,2.2282
7,18.47,6,62.2,283.3,0.01,14,7,1.7881
7.6,18.03,5.7,65.1,250,0.01,16,10,1.7775
7.1,19.05,5.4,46.7,153.9,0.075,15,4,1.915
7.8,20.87,7.6,47.6,238.5,0.01,13,3,1.8458
8.1,21.33,8.1,47.3,204.6,0.015,11,5,1.8538
8.6,21.43,8.7,45.3,216.2,0.018,10,3,1.8606
7.5,19.67,8.6,46.9,111.8,0.01,13,12,1.8463
7.1,18.07,7.2,51.7,154.4,0.035,20,63,2.3764
7.2,17.43,7.6,48.6,142.3,0.025,19,125,2.7701
6.8,18.38,5,47,188.6,0.029,6,3,1.8099
7.3,19.47,8,44.8,117.7,0.019,8,5,1.7586
7,18.97,8.2,47.5,124.5,0.012,14,32,2.1628
7.5,19.57,8.3,44.4,100.9,0.01,9,2,1.9079
7.2,20.6,8.1,49,205.1,0.006,6,2,1.6652
6.5,18.65,4.7,60.2,238,0.034,3,7,1.5995
6.7,17.8,1.5,45.8,249.3,0.019,2,7,1.5446
6.8,18.98,5.9,45.1,201.8,0.007,2,4,1.7215
7,21.23,7.5,48.5,201.8,0.006,2,2,2.4395
7,21.17,7.2,51.9,278.6,0.018,2,4,1.6842
8.1,21.33,9.5,38.1,230.2,0.007,2,1,1.761
6.8,20.45,7.9,53.5,138.2,0.01,13,2,1.8663
6.5,18.75,6.3,55.3,184.6,0.019,19,4,1.998
6.6,18.57,5.3,57.8,197,0.035,13,6,1.7674
6.6,19.04,6,44.6,90.4,0.066,18,3,3.6832
7,20.27,7.9,47.1,116.8,0.01,12,3,2.0793
7,20.67,7.8,52.5,117.8,0.01,10,2,1.7529
7.1,19.87,7.9,43.6,112.2,0.01,7,3,1.9044
6.8,19.6,7.6,42.8,149.5,0.014,19,10,2.7151
6.4,17.83,5.3,47.7,176.8,0.014,17,10,2.3777
6.6,17.7,6.5,57.6,166.3,0.014,17,13,2.2342
6.2,18.3,4.9,46.6,89,0.05,18,14,2.46
7.4,19.33,7.5,42.4,132.9,0.014,17,14,2.5615
7.1,19.3,8,46.2,146.8,0.014,19,20,2.5007
7.3,18.07,7.9,41.2,146,0.014,15,8,2.4304
6.7,19.43,7.8,46.8,132.3,0.01,12,2,1.9252
6.5,17.97,6.1,57.1,157,0.014,17,14,2.3536
6.8,17.6,7.1,57.1,155.2,0.071,12,47,2.4805
6.4,18.09,4.4,52.5,202.3,0.024,14,4,2.422
6.4,19.23,5.9,47,129.1,0.016,12,4,2.5676
6.9,19.17,8,49.2,115.4,0.011,19,25,2.6138
6.5,19.43,6.3,46.8,123.5,0.01,10,3,2.2008
8.1,21.27,8.2,41.4,104.7,0.015,15,3,2.0373
7.3,18.4,6.7,48,144,0.019,18,12,1.8623
7.3,17.67,5.1,52.7,156.1,0.022,26,20,1.8421
7.8,18.78,5.6,44.6,178.7,0.01,21,11,1.9923
7.6,21.37,7.5,39.2,115.2,0.01,18,4,1.8799
7.7,20.33,7.6,47.5,124,0.01,16,7,1.6919
8.3,21.27,8.3,43.3,97.8,0.01,18,3,1.6804
7.2,21.05,7.7,51.1,81.5,0.01,2,1,1.9394
6.5,19.32,6.5,55.8,116.4,0.01,2,2,1.5518
6,18.8,4.7,63.8,128.5,0.021,2,4,1.4502
6.7,19.6,5.5,44.6,99.1,0.049,2,3,1.7913
6.7,20.95,7.4,51.6,87.7,0.013,2,2,1.5601
6.9,21.58,7.4,53.9,90.3,0.01,4,3,1.5887
7.8,20.92,8.2,50.3,86.8,0.01,4,1,1.5951
8.8,20.63,8.1,42.2,55,0.004,11,2,2.2235
7.2,19.53,6.9,49.1,109.6,0.005,9,33,1.8221
7.2,18.93,6.2,47.5,113.1,0.006,17,50,2.026
7.6,19.12,6,42.6,22.5,0.091,5,4,1.7273
8.2,20.97,7.8,40.6,93.5,0.005,3,13,1.6228
8.7,21,8,43.1,66.9,0.004,7,4,1.5871
8.7,20.63,8.2,40.3,78.7,0,6,3,1.7375
7.8,21.05,7.7,40.4,83.3,0.001,12,2,2.4338
7,19.45,6.5,47.8,114.5,0.001,12,5,1.9768
7,18.8,6.4,52.4,104.8,0.021,12,8,2.2047
7.2,19.43,5.1,45.4,37.4,0.112,14,3,2.0098
8.2,20.97,7.8,40.6,93.5,0.001,7,3,1.9981
7.5,21.07,7.5,44.1,70.4,0.003,6,3,1.8653
7.6,20.94,7.5,40.4,91.1,0.006,7,1,1.7639
8.4,21,8.4,47.9,43.5,0.001,12,2,1.8853
7.4,19.85,7.2,52.2,69.3,0.001,13,10,1.7509
7.4,19,6.3,55.4,62.5,0.015,14,20,1.8232
7.2,19.28,4.6,48.3,49.8,0.151,18,4,1.7706
8,20.83,7.6,44.6,76.6,0.008,8,3,1.7371
8,20.77,7.8,47.7,64.4,0.001,15,4,1.6521
8.3,20.53,7.7,47.6,80.9,0.001,16,4,1.7513
6.7,19.9,7.8,49.3,87.1,0.005,6,3,1.8445
6.4,18.97,6.7,52.7,105.4,0.005,10,12,1.8789
6.5,18.4,6.7,56.2,99.9,0.015,10,20,2.0756
6,18.81,4.1,51.9,40.6,0.248,21,4,1.8585
6.7,19.83,7.7,49.2,97.2,0.016,8,5,1.8436
6.6,19.7,7.5,50.9,71.9,0.01,12,7,1.8096
6.6,19.8,7.6,49,124.4,0.005,10,3,1.7169
6.7,19.9,7.8,49.3,87.1,0.007,11,4,2.2097
7.2,21.17,8.4,46.4,94.6,0.012,12,5,1.9795
6.5,18.77,6.9,58.8,126.4,0.025,13,14,2.0133
6.2,18.75,4.4,50.4,50.6,0.191,18,6,2.2592
6.7,20.53,7.1,44.9,117.1,0.024,10,6,2.0342
6.8,20,7.8,51.7,89,0.014,11,6,1.9155
6.6,20.13,6.6,46.6,103.7,0.008,8,4,2.0551
