,PM,Profuidad,Zona fótica,pH,Temperatura ,OD,OD%,Conductividad,Redox,Fósforo Total,Nitratos,N. amonical ,Mang,Color,Turbiedad,N total,TOC,"UV 
(cm1)",SUVA,Clorofila,Feopigmentos,Algas,Cianobacterias totales,F N,CL N,NO2 N,NO3 N,SO4 N,NH4+ N,K N,NT N,NT Orgánico N
41,Descarga Bombeo,1.96,5.3,7.5,20.9,9.8,126.9,49.2,106.1,50.0,30.92,32.56,0.043,10.0,5,0.243,1.7346,0.064,3.7,90.63,11.02,300,0,0.02,2.891,0.009,0.135,1.899,0.069,0.792,0.206,0.119
42,Torre Superficial,1.18,3.19,10.0,20.6,10.7,153.9,54.3,150.1,50.0,71.11,30.233,0.0,15.0,12,0.21,2.0288,0.056,2.8,65.72,41.06,563,0,0.058,3.275,0.009,0.315,2.712,0.06,1.041,0.21,0.136
43,Torre Media,1.18,3.19,7.9,18.8,6.8,94.1,60.4,225.8,100.0,248.53,16.3,0.015,30.0,10,0.52,1.9774,0.06,3.0,55.18,2.92,260,0,0.073,4.5,0.019,1.101,3.539,0.021,1.263,0.52,0.25
44,Torre Profua,1.18,3.19,7.6,18.2,5.0,68.9,62.7,233.1,30.0,134.54,46.5,0.024,29.0,16,0.415,2.1007,0.06,2.9,8.11,0.41,13,0,0.026,3.945,0.035,0.596,2.851,0.06,1.398,0.415,0.223
45,Presa,1.26,3.41,9.8,20.9,11.2,160.9,51.1,72.4,70.0,114.2414267857143,30.233,0.066,23.0,13,1.141,1.9007,0.046,2.4,107.11,1.95,465,0,0.025,3.206,0.024,4.404,1.986,0.06,1.696,1.141,0.139
46,Potreros,0.96,2.6,10.2,21.2,11.1,162.7,51.7,110.3,100.0,38.6,30.233,0.001,18.0,7,0.23,2.0469,0.056,2.7,171.21,7.22,1000,0,0.032,2.601,0.008,0.171,1.859,0.06,1.237,0.3,0.258
47,PalmasEsp.Santo,1.2,3.25,10.1,21.1,10.8,156.8,53.5,124.1,100.0,231.8,30.233,0.001,22.0,8,0.483,2.1041,0.059,2.8,77.08,62.15,295,0,0.022,2.933,0.012,1.027,2.1,0.06,1.007,0.483,0.247
48,Descarga Bombeo,0.98,2.65,10.2,21.0,11.6,168.1,53.4,112.8,60.0,113.1,6.2,0.004,23.0,11,0.248,2.0419,0.057,2.8,9.48,5.03,950,0,0.021,2.65,0.012,0.501,1.79,0.008,1.039,0.248,0.125
49,Torre Superficial,0.8,2.16,10.0,20.2,10.7,153.1,49.3,131.06841046277668,104.0,52.37,10.0,0.004,13.327838827838828,9,0.255,2.3231,0.068,2.9,293.21,33.53,1910,0,0.055,2.431,0.004,0.232,1.743,0.06,1.128,0.255,0.202
50,Torre Media,0.8,2.16,7.2,18.7,5.6,77.9,51.7,131.06841046277668,36.0,97.97,10.0,0.001,13.327838827838828,2,0.32,1.916,0.058,3.0,66.34,8.29,305,0,0.034,3.427,0.009,0.434,2.44,0.06,1.072,0.32,0.219
51,Torre Profua,0.8,2.16,7.0,17.9,4.0,55.8,57.7,131.06841046277668,46.0,134.09,10.0,0.052,13.327838827838828,4,0.679,2.1835,0.056,2.6,31.99,2.84,37,0,0.009,3.297,0.011,0.594,2.362,0.06,1.046,0.679,0.542
52,Presa,1.26,3.41,10.0,19.9,10.8,154.8,46.2,131.06841046277668,46.0,59.38,10.0,0.018,13.327838827838828,3,0.263,2.0594,0.057,2.8,79.37,7.29,475,0,0.02,2.118,0.005,0.263,1.488,0.06,0.992,0.263,0.202
53,Potreros,1.18,3.19,8.5,19.9,6.8,97.4,43.2,131.06841046277668,36.0,17.83,12.4,0.015,13.327838827838828,3,0.17,2.2844,0.08,3.5,21.92,5.03,455,0,0.028,2.183,0.002,0.079,1.573,0.016,0.897,0.17,0.139
54,PalmasEsp.Santo,2.12,5.73,9.9,20.2,10.3,146.7,50.4,131.06841046277668,31.0,31.83,10.0,0.014,13.327838827838828,1,0.228,2.3681,0.061,2.6,69.9,5.98,100,0,0.025,2.657,0.004,0.141,1.887,0.06,0.879,0.228,0.195
55,Descarga Bombeo,1.2,3.25,10.1,19.8,10.7,150.9,44.7,131.06841046277668,64.0,20.09,10.0,0.013,13.327838827838828,4,0.248,2.4756,0.072,2.9,98.33,5.33,1050,0,0.008,2.006,0.006,0.089,1.445,0.06,1.017,0.248,0.226
56,Torre Superficial,1.61,4.36,9.3,20.7,8.9,129.0,49.0,59.5,44.0,37.472,0.02,0.009,13.327838827838828,6,0.133,2.231,0.05,2.2,61.01,24.4,528,0,0.12,3.268,0.007,0.166,2.313,0.06,0.88,0.133,0.094
57,Torre Media,1.61,4.36,8.5,19.9,6.6,94.95,52.4,88.1,43.0,85.102,30.233,0.027,13.327838827838828,8,0.214,2.2616,0.046,2.0,81.15,13.39,668,0,0.257,5.36,0.008,0.377,3.638,0.06,0.986,0.214,0.127
58,Torre Profua,1.61,4.36,7.1,19.2,4.7,65.85,43.7,124.8,31.0,100.903,30.233,0.022,13.327838827838828,6,0.242,2.0054,0.041,2.0,38.5,6.69,676,0,0.053,2.979,0.014,0.447,2.008,0.06,0.907,0.242,0.137
59,Presa,1.64,4.44,9.3,20.2,9.6,137.0,41.4,12.1,60.0,87.133,0.02,0.024,13.327838827838828,7,0.226,2.3024,0.053,2.3,155.19,5.27,760,0,0.032,2.267,0.014,0.386,1.463,0.06,1.199,0.226,0.135
60,Potreros,1.58,4.27,9.0,21.07,9.1,132.53,43.3,34.9,33.0,31.377,30.233,0.012,13.327838827838828,5,0.162,2.1732,0.06,2.8,42.65,8.35,225,0,0.031,2.339,0.005,0.139,1.609,0.06,0.802,0.162,0.129
61,PalmasEsp.Santo,1.65,4.46,9.4,21.1,9.4,137.6,52.5,65.8,38.0,41.535,0.02,0.009,13.327838827838828,7,0.127,2.3209,0.045,1.9,36.72,6.4,400,0,0.023,3.72,0.003,0.184,2.45,0.06,0.868,0.127,0.085
62,Descarga Bombeo,2.0,5.41,9.5,21.9,8.5,126.9,41.8,46.5,29.0,36.117,0.02,0.009,13.327838827838828,3,0.078,2.019,0.047,2.3,4.15,8.71,25,0,0.025,2.273,0.007,0.16,1.588,0.06,0.825,0.078,0.04
63,Torre Superficial,1.26,3.41,7.8,20.2,7.2,102.8,41.2,111.7,33.0,2.257,0.02,0.012,11.0,7,0.321,2.1165,0.052,2.5,30.21,8.77,365,0,0.034,2.743,0.01,0.398,1.94,0.06,0.891,0.321,0.228
64,Torre Media,1.26,3.41,6.6,18.8,3.3,46.1,43.2,150.0,34.0,0.677,30.233,0.009,9.0,7,0.417,2.0595,0.048,2.3,52.13,9.24,325,0,0.037,2.934,0.003,0.771,1.801,0.06,0.937,0.417,0.241
65,Torre Profua,1.26,3.41,6.7,18.6,4.2,58.1,60.4,136.6,30.0,2.257,30.233,0.043,10.0,10,0.493,2.2557,0.052,2.3,17.77,5.45,144,0,0.027,4.475,0.01,0.765,3.049,0.06,1.04,0.493,0.317
66,Presa,1.43,3.87,8.0,19.6,7.6,107.2,39.2,88.7,33.0,122.122,0.02,0.024,9.0,6,0.402,2.2362,0.053,2.4,39.09,7.76,400,0,0.034,2.542,0.012,0.541,1.637,0.06,1.087,0.402,0.277
67,Potreros,1.25,3.38,7.7,20.8,7.0,101.47,39.5,107.6,33.0,86.005,30.233,0.017,9.0,14,0.388,2.1668,0.049,2.3,3.55,3.08,90,0,0.041,2.756,0.008,0.381,1.807,0.06,0.865,0.388,0.299
